REF_DATE	GEO	National Occupational Classification (NOC)	VALUE
2006	Saskatchewan	Business, finance and administration occupations [1]	71.5
2006	Saskatchewan	Professional occupations in business and finance [11]	11.3
2006	Saskatchewan	Administrative and financial supervisors and administrative occupations [12]	19.9
2006	Saskatchewan	Finance, insurance and related business administrative occupations [13]	7.1
2006	Saskatchewan	Office support occupations [14]	24.3
2006	Saskatchewan	Distribution, tracking and scheduling co-ordination occupations [15]	9
2006	Saskatchewan	Natural and applied sciences and related occupations [2]	21.8
2006	Saskatchewan	Professional occupations in natural and applied sciences [21]	9.8
2006	Saskatchewan	Technical occupations related to natural and applied sciences [22]	12
2006	Saskatchewan	Health occupations [3]	33.5
2006	Saskatchewan	Professional occupations in nursing [30]	8.5
2006	Saskatchewan	Professional occupations in health (except nursing) [31]	6
2006	Saskatchewan	Technical occupations in health [32]	7
2006	Saskatchewan	Assisting occupations in support of health services [34]	12
2006	Saskatchewan	Occupations in education, law and social, community and government services [4]	49.6
2006	Saskatchewan	Professional occupations in education services [40]	20.8
2006	Saskatchewan	Professional occupations in law and social, community and government services [41]	9.7
2006	Saskatchewan	Paraprofessional occupations in legal, social, community and education services [42]	8.5
2006	Saskatchewan	Occupations in front-line public protection services [43]	3.3
2006	Saskatchewan	Care providers and educational, legal and public protection support occupations [44]	7.3
2006	Saskatchewan	Occupations in art, culture, recreation and sport [5]	9.9
2006	Saskatchewan	Professional occupations in art and culture [51]	3.5
2006	Saskatchewan	Technical occupations in art, culture, recreation and sport [52]	6.4
2006	Saskatchewan	Sales and service occupations [6]	115.9
2006	Saskatchewan	Retail sales supervisors and specialized sales occupations [62]	14.2
2006	Saskatchewan	Service supervisors and specialized service occupations [63]	16.5
2006	Saskatchewan	Sales representatives and salespersons - wholesale and retail trade [64]	20.8
2006	Saskatchewan	Service representatives and other customer and personal services occupations [65]	20.5
2006	Saskatchewan	Sales support occupations [66]	17.6
2006	Saskatchewan	Service support and other service occupations, n.e.c. [67]	26.4
2006	Saskatchewan	Trades, transport and equipment operators and related occupations [7]	73.4
2006	Saskatchewan	Industrial, electrical and construction trades [72]	22.3
2006	Saskatchewan	Maintenance and equipment operation trades [73]	17.7
2006	Saskatchewan	Other installers, repairers and servicers and material handlers [74]	6.3
2006	Saskatchewan	Transport and heavy equipment operation and related maintenance occupations [75]	22.2
2006	Saskatchewan	Trades helpers, construction labourers and related occupations [76]	4.9
2006	Saskatchewan	Natural resources, agriculture and related production occupations [8]	22.6
2006	Saskatchewan	Supervisors and technical occupations in natural resources, agriculture and related production [82]	7.8
2006	Saskatchewan	Workers in natural resources, agriculture and related production [84]	10.6
2006	Saskatchewan	Harvesting, landscaping and natural resources labourers [86]	4.3
2006	Saskatchewan	Occupations in manufacturing and utilities [9]	18.7
2006	Saskatchewan	Processing, manufacturing and utilities supervisors and central control operators [92]	5.8
2006	Saskatchewan	Processing and manufacturing machine operators and related production workers [94]	6.1
2006	Saskatchewan	Assemblers in manufacturing [95]	3.4
2006	Saskatchewan	Labourers in processing, manufacturing and utilities [96]	3.4
2006	Alberta	Total employed, all occupations	1908.7
2006	Alberta	Management occupations [0]	194.6
2006	Alberta	Senior management occupations [00]	6
2006	Alberta	Specialized middle management occupations [01-05]	51.8
2006	Alberta	Middle management occupations in retail and wholesale trade and customer services [06]	65.3
2006	Alberta	Middle management occupations in trades, transportation, production and utilities [07-09]	71.5
2006	Alberta	Business, finance and administration occupations [1]	322.3
2006	Alberta	Professional occupations in business and finance [11]	62.7
2006	Alberta	Administrative and financial supervisors and administrative occupations [12]	79.1
2006	Alberta	Finance, insurance and related business administrative occupations [13]	33.8
2006	Alberta	Office support occupations [14]	108.3
2006	Alberta	Distribution, tracking and scheduling co-ordination occupations [15]	38.4
2006	Alberta	Natural and applied sciences and related occupations [2]	144.4
2006	Alberta	Professional occupations in natural and applied sciences [21]	77.7
2006	Alberta	Technical occupations related to natural and applied sciences [22]	66.6
2006	Alberta	Health occupations [3]	102.9
2006	Alberta	Professional occupations in nursing [30]	25.8
2006	Alberta	Professional occupations in health (except nursing) [31]	23.1
2006	Alberta	Technical occupations in health [32]	33
2006	Alberta	Assisting occupations in support of health services [34]	21
2006	Alberta	Occupations in education, law and social, community and government services [4]	178
2006	Alberta	Professional occupations in education services [40]	71.4
2006	Alberta	Professional occupations in law and social, community and government services [41]	37
2006	Alberta	Paraprofessional occupations in legal, social, community and education services [42]	32
2006	Alberta	Occupations in front-line public protection services [43]	10.1
2006	Alberta	Care providers and educational, legal and public protection support occupations [44]	27.5
2006	Alberta	Occupations in art, culture, recreation and sport [5]	38.8
2006	Alberta	Professional occupations in art and culture [51]	12.1
2006	Alberta	Technical occupations in art, culture, recreation and sport [52]	26.6
2006	Alberta	Sales and service occupations [6]	432.1
2006	Alberta	Retail sales supervisors and specialized sales occupations [62]	54.8
2006	Alberta	Service supervisors and specialized service occupations [63]	56.4
2006	Alberta	Sales representatives and salespersons - wholesale and retail trade [64]	85
2006	Alberta	Service representatives and other customer and personal services occupations [65]	86.4
2006	Alberta	Sales support occupations [66]	63.4
2006	Alberta	Service support and other service occupations, n.e.c. [67]	86.1
2006	Alberta	Trades, transport and equipment operators and related occupations [7]	343.9
2006	Alberta	Industrial, electrical and construction trades [72]	141.8
2006	Alberta	Maintenance and equipment operation trades [73]	76.3
2006	Alberta	Other installers, repairers and servicers and material handlers [74]	28.2
2006	Alberta	Transport and heavy equipment operation and related maintenance occupations [75]	78
2006	Alberta	Trades helpers, construction labourers and related occupations [76]	19.6
2006	Alberta	Natural resources, agriculture and related production occupations [8]	74.9
2006	Alberta	Supervisors and technical occupations in natural resources, agriculture and related production [82]	42
